"facility_name","description","address1","city","state","fac_zip","fac_phone","county","region_office","ownership_type","latitude","longitude"
"Albany Medical Center Hospital","Hospital","43 New Scotland Avenue","Albany","New York","12208","5182623474","Albany","Capital District Regional Office","Not for Profit Corporation","42.65337","-73.773834"
"Samaritan Hospital - Albany Memorial Campus","Hospital","600 Northern Boulevard","Albany","New York","12204","5184713221","Albany","Capital District Regional Office","Not for Profit Corporation","42.674271","-73.749268"
"St. Peter's Hospital","Hospital","315 South Manning Boulevard","Albany","New York","12208","5184541550","Albany","Capital District Regional Office","Not for Profit Corporation","42.657539","-73.803879"
"St. Peter's Addiction Recovery Center","Hospital","3 Mercycare Lane","Guilderland","New York","12084","5184526701","Albany","Capital District Regional Office","Not for Profit Corporation","42.701252","-73.904968"
"St. Peter's Addiction Recovery Center","Hospital","3 Mercycare Lane","Guilderland","New York","12084","5184526701","Albany","Capital District Regional Office","Not for Profit Corporation","42.701252","-73.904968"
"Albany Medical Center - South Clinical Campus","Hospital","25 Hackett Boulevard","Albany","New York","12208","5182621200","Albany","Capital District Regional Office","Not for Profit Corporation","42.645485","-73.77829"
"St. Peter's Hospital","Hospital","315 South Manning Boulevard","Albany","New York","12208","5184541550","Albany","Capital District Regional Office","Not for Profit Corporation","42.657539","-73.803879"
"Samaritan Hospital - Albany Memorial Campus","Hospital","600 Northern Boulevard","Albany","New York","12204","5184713221","Albany","Capital District Regional Office","Not for Profit Corporation","42.674271","-73.749268"
"Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp","Hospital","191 North Main Street","Wellsville","New York","14895","5855931100","Allegany","Western Regional Office - Buffalo","Not for Profit Corporation","42.122921","-77.949974"
"Jacobi Medical Center","Hospital","1400 Pelham Parkway","Bronx","New York","10461","7189185000","Bronx","Metropolitan Area Regional Office - New York City","Municipality","40.857388","-73.846741"
"Montefiore Medical Center-Wakefield Hospital","Hospital","600 East 233rd Street","Bronx","New York","10466","7189209000","Bronx","Metropolitan Area Regional Office - New York City","Not for Profit Corporation","40.894569","-73.86142"
"Montefiore Medical Center - Montefiore Westchester Square","Hospital","2475 St. Raymond Avenue","Bronx","New York","10461","7184307359","Bronx","Metropolitan Area Regional Office - New York City","Not for Profit Corporation","40.840431","-73.848244"
"SBH Health System","Hospital","4422 Third Avenue","Bronx","New York","10457","7189606100","Bronx","Metropolitan Area Regional Office - New York City","Not for Profit Corporation","40.853909","-73.891014"
"Calvary Hospital Inc","Hospital","1740-70 Eastchester Road","Bronx","New York","10461","7185182244","Bronx","Metropolitan Area Regional Office - New York City","Not for Profit Corporation","40.847294","-73.844658"
